Country,Localized Name,Count
JP,佐藤,1990000.0
JP,鈴木,1900000.0
JP,高橋,1470000.0
JP,田中,1340000.0
JP,渡辺,1200000.0
JP,伊藤,1150000.0
JP,中村,1080000.0
JP,小林,1060000.0
JP,山本,1020000.0
JP,加藤,920000.0
JP,吉田,850000.0
JP,山田,820000.0
JP,佐々木,710000.0
JP,山口,640000.0
JP,松本,630000.0
JP,井上,600000.0
JP,木村,580000.0
JP,清水,560000.0
JP,林,550000.0
JP,斉藤,530000.0
JP,斎藤,520000.0
JP,山崎,490000.0
JP,山崎,490000.0
JP,中島,480000.0
JP,中島,480000.0
JP,森,470000.0
JP,阿部,470000.0
JP,池田,450000.0
JP,橋本,450000.0
JP,石川,440000.0
JP,山下,410000.0
JP,小川,410000.0
JP,石井,400000.0
JP,長谷川,390000.0
JP,後藤,390000.0
JP,岡田,380000.0
JP,近藤,370000.0
JP,前田,370000.0
JP,藤田,370000.0
JP,遠藤,360000.0
JP,青木,350000.0
JP,坂本,350000.0
JP,村上,340000.0
JP,太田,320000.0
JP,金子,310000.0
JP,藤井,310000.0
JP,福田,300000.0
JP,西村,300000.0
JP,三浦,300000.0
JP,竹内,290000.0
JP,中川,290000.0
JP,岡本,290000.0
JP,松田,290000.0
JP,原田,290000.0
JP,中野,290000.0
JP,小野,280000.0
JP,田村,280000.0
JP,藤原,270000.0
JP,藤原,270000.0
JP,中山,270000.0
JP,石田,270000.0
JP,小島,260000.0
JP,和田,260000.0
JP,森田,250000.0
JP,内田,250000.0
JP,柴田,250000.0
JP,酒井,240000.0
JP,原,240000.0
JP,高木,240000.0
JP,高木,240000.0
JP,横山,240000.0
JP,安藤,240000.0
JP,宮崎,240000.0
JP,宮崎,240000.0
JP,上田,240000.0
JP,上田,240000.0
JP,島田,230000.0
JP,工藤,230000.0
JP,大野,220000.0
JP,宮本,220000.0
JP,杉山,220000.0
JP,今井,220000.0
JP,丸山,210000.0
JP,増田,210000.0
JP,高田,210000.0
JP,高田,210000.0
JP,村田,210000.0
JP,平野,210000.0
JP,大塚,210000.0
JP,菅原,210000.0
JP,菅原,210000.0
JP,武田,200000.0
JP,武田,200000.0
JP,新井,200000.0
JP,小山,200000.0
JP,小山,200000.0
JP,野口,200000.0
JP,桜井,200000.0
JP,千葉,200000.0
JP,岩崎,200000.0
JP,佐野,200000.0
JP,谷口,200000.0
JP,上野,200000.0
JP,松井,190000.0
JP,河野,190000.0
JP,河野,190000.0
JP,市川,190000.0
JP,渡部,190000.0
JP,渡部,190000.0
JP,野村,180000.0
JP,菊地,180000.0
JP,木下,180000.0
