Country,Localized Name,Count
IT,Rossi,60.0
IT,Russo,43.0
IT,Ferrari,34.0
IT,Esposito,32.0
IT,Bianchi,25.0
IT,Romano,24.0
IT,Colombo,23.0
IT,Bruno,21.0
IT,Ricci,20.0
IT,Greco,18.0
IT,Marino,18.0
IT,Gallo,18.0
IT,De Luca,17.0
IT,Conti,17.0
IT,Costa,17.0
IT,Mancini,17.0
IT,Giordano,17.0
IT,Rizzo,16.0
IT,Lombardi,15.0
IT,Barbieri,14.0
IT,Moretti,14.0
IT,Fontana,14.0
IT,Caruso,14.0
IT,Mariani,14.0
IT,Ferrara,13.0
IT,Santoro,13.0
IT,Rinaldi,13.0
IT,Leone,13.0
IT,D'Angelo,13.0
IT,Longo,12.0
IT,Galli,12.0
IT,Martini,12.0
IT,Martinelli,12.0
IT,Serra,11.0
IT,Conte,11.0
IT,Vitale,11.0
IT,De Santis,11.0
IT,Marchetti,11.0
IT,Messina,11.0
IT,Gentile,11.0
IT,Villa,11.0
IT,Marini,11.0
IT,Lombardo,11.0
IT,Coppola,11.0
IT,Ferri,11.0
IT,Parisi,11.0
IT,De Angelis,11.0
IT,Bianco,10.0
IT,Amato,10.0
IT,Fabbri,10.0
IT,Gatti,10.0
IT,Sala,10.0
IT,Morelli,10.0
IT,Grasso,10.0
IT,Pellegrini,10.0
IT,Ferraro,10.0
IT,Monti,10.0
IT,Palumbo,10.0
IT,Grassi,10.0
IT,Testa,10.0
IT,Valentini,9.0
IT,Carbone,9.0
IT,Benedetti,9.0
IT,Silvestri,9.0
IT,Farina,9.0
IT,D'Amico,9.0
IT,Martino,9.0
IT,Bernardi,9.0
IT,Caputo,9.0
IT,Mazza,9.0
IT,Sanna,9.0
IT,Fiore,9.0
IT,De Rosa,9.0
IT,Pellegrino,9.0
IT,Giuliani,9.0
IT,Rizzi,9.0
IT,Di Stefano,9.0
IT,Cattaneo,8.0
IT,Rossetti,8.0
IT,Orlando,8.0
IT,Basile,8.0
IT,Neri,8.0
IT,Barone,8.0
IT,Palmieri,8.0
IT,Riva,8.0
IT,Romeo,8.0
IT,Franco,8.0
IT,Sorrentino,8.0
IT,Pagano,8.0
IT,D'Agostino,8.0
IT,Piras,8.0
IT,Ruggiero,8.0
IT,Montanari,8.0
IT,Battaglia,8.0
IT,Bellini,8.0
IT,Castelli,8.0
IT,Guerra,8.0
IT,Poli,8.0
IT,Valente,7.0
IT,Ferretti,7.0
